name	period	bikes	cluster1	cluster2	num1	trip1	num2	trip2
"Central Park West & W 76 St"	night	2.16	1	2	184	94.58	193	140.11
"E 5 St & Avenue C"	morning	32.52	1	0	184	94.58	492	38.64
"E 5 St & Avenue C"	afternoon	20.84	1	0	184	94.58	492	38.64
"E 5 St & Avenue C"	evening	16.29	1	0	184	94.58	492	38.64
"E 5 St & Avenue C"	night	1.42	1	0	184	94.58	492	38.64
"W 15 St & 7 Ave"	morning	55.81	4	2	118	173.67	193	140.11
"W 15 St & 7 Ave"	afternoon	73.94	4	2	118	173.67	193	140.11
"W 15 St & 7 Ave"	evening	59.97	4	2	118	173.67	193	140.11
"W 15 St & 7 Ave"	night	4.13	4	2	118	173.67	193	140.11
"1 Ave & E 68 St"	morning	88.29	4	1	118	173.67	51	267.31
"1 Ave & E 68 St"	afternoon	84.03	4	1	118	173.67	51	267.31
"1 Ave & E 68 St"	evening	39.03	4	1	118	173.67	51	267.31
"1 Ave & E 68 St"	night	2.9	4	1	118	173.67	51	267.31
"Willoughby Ave & Walworth St"	morning	7.97	0	3	430	29.5	29	18.21
"Willoughby Ave & Walworth St"	afternoon	7.39	0	3	430	29.5	29	18.21
"Willoughby Ave & Walworth St"	evening	4.68	0	3	430	29.5	29	18.21
"Willoughby Ave & Walworth St"	night	0.52	0	3	430	29.5	29	18.21
"Driggs Ave & Lorimer St"	morning	8.0	0	0	430	29.5	492	38.64
"Driggs Ave & Lorimer St"	afternoon	9.55	0	0	430	29.5	492	38.64
"Driggs Ave & Lorimer St"	evening	9.32	0	0	430	29.5	492	38.64
"Driggs Ave & Lorimer St"	night	0.77	0	0	430	29.5	492	38.64
"E 53 St & Madison Ave"	morning	20.74	1	2	184	94.58	193	140.11
"E 53 St & Madison Ave"	afternoon	68.81	1	2	184	94.58	193	140.11
"E 53 St & Madison Ave"	evening	7.97	1	2	184	94.58	193	140.11
"E 53 St & Madison Ave"	night	0.39	1	2	184	94.58	193	140.11
"E 23 St & 1 Ave"	morning	78.74	4	2	118	173.67	193	140.11
"E 23 St & 1 Ave"	afternoon	66.68	4	2	118	173.67	193	140.11
"E 23 St & 1 Ave"	evening	47.9	4	2	118	173.67	193	140.11
"E 23 St & 1 Ave"	night	2.48	4	2	118	173.67	193	140.11
"Bank St & Hudson St"	morning	36.68	1	2	184	94.58	193	140.11
"Bank St & Hudson St"	afternoon	42.81	1	2	184	94.58	193	140.11
"Bank St & Hudson St"	evening	29.42	1	2	184	94.58	193	140.11
"Bank St & Hudson St"	night	3.52	1	2	184	94.58	193	140.11
"1 Ave & E 62 St"	morning	33.77	1	2	184	94.58	193	140.11
"1 Ave & E 62 St"	afternoon	53.32	1	2	184	94.58	193	140.11
"1 Ave & E 62 St"	evening	40.19	1	2	184	94.58	193	140.11
"1 Ave & E 62 St"	night	3.23	1	2	184	94.58	193	140.11
"9 Ave & W 45 St"	morning	40.06	4	2	118	173.67	193	140.11
"9 Ave & W 45 St"	afternoon	73.06	4	2	118	173.67	193	140.11
"9 Ave & W 45 St"	evening	72.1	4	2	118	173.67	193	140.11
"9 Ave & W 45 St"	night	5.68	4	2	118	173.67	193	140.11
"Cathedral Pkwy & Broadway"	morning	22.39	1	0	184	94.58	492	38.64
"Cathedral Pkwy & Broadway"	afternoon	19.9	1	0	184	94.58	492	38.64
"Cathedral Pkwy & Broadway"	evening	20.29	1	0	184	94.58	492	38.64
"Cathedral Pkwy & Broadway"	night	2.48	1	0	184	94.58	492	38.64
"Kent Ave & S 11 St"	morning	21.42	0	0	430	29.5	492	38.64
"Kent Ave & S 11 St"	afternoon	22.48	0	0	430	29.5	492	38.64
"Kent Ave & S 11 St"	evening	12.32	0	0	430	29.5	492	38.64
"Kent Ave & S 11 St"	night	0.81	0	0	430	29.5	492	38.64
"Clinton St & 4 Place"	morning	16.94	0	0	430	29.5	492	38.64
"Clinton St & 4 Place"	afternoon	14.1	0	0	430	29.5	492	38.64
"Clinton St & 4 Place"	evening	7.68	0	0	430	29.5	492	38.64
"Clinton St & 4 Place"	night	0.16	0	0	430	29.5	492	38.64
"E 59 St & Madison Ave"	morning	19.58	1	0	184	94.58	492	38.64
"E 59 St & Madison Ave"	afternoon	57.94	1	0	184	94.58	492	38.64
"E 59 St & Madison Ave"	evening	9.32	1	0	184	94.58	492	38.64
"E 59 St & Madison Ave"	night	0.45	1	0	184	94.58	492	38.64
"Grand St & Havemeyer St"	morning	18.48	1	0	184	94.58	492	38.64
"Grand St & Havemeyer St"	afternoon	22.84	1	0	184	94.58	492	38.64
"Grand St & Havemeyer St"	evening	23.97	1	0	184	94.58	492	38.64
"Grand St & Havemeyer St"	night	3.84	1	0	184	94.58	492	38.64
"W 16 St & 8 Ave"	morning	97.71	2	1	33	292.03	51	267.31
"W 16 St & 8 Ave"	afternoon	99.52	2	1	33	292.03	51	267.31
"W 16 St & 8 Ave"	evening	70.45	2	1	33	292.03	51	267.31
"W 16 St & 8 Ave"	night	5.94	2	1	33	292.03	51	267.31
"W 4 St & 7 Ave S"	morning	44.16	4	2	118	173.67	193	140.11
"W 4 St & 7 Ave S"	afternoon	66.16	4	2	118	173.67	193	140.11
"W 4 St & 7 Ave S"	evening	68.0	4	2	118	173.67	193	140.11
"W 4 St & 7 Ave S"	night	11.06	4	2	118	173.67	193	140.11
"Fulton St & Grand Ave"	morning	17.16	0	0	430	29.5	492	38.64
"Fulton St & Grand Ave"	afternoon	12.03	0	0	430	29.5	492	38.64
"Fulton St & Grand Ave"	evening	9.74	0	0	430	29.5	492	38.64
"Fulton St & Grand Ave"	night	0.9	0	0	430	29.5	492	38.64
"St Marks Pl & 1 Ave"	morning	42.52	4	2	118	173.67	193	140.11
"St Marks Pl & 1 Ave"	afternoon	57.55	4	2	118	173.67	193	140.11
"St Marks Pl & 1 Ave"	evening	52.03	4	2	118	173.67	193	140.11
"St Marks Pl & 1 Ave"	night	6.9	4	2	118	173.67	193	140.11
"6 Ave & 9 St"	morning	14.13	0	0	430	29.5	492	38.64
"6 Ave & 9 St"	afternoon	12.55	0	0	430	29.5	492	38.64
"6 Ave & 9 St"	evening	9.06	0	0	430	29.5	492	38.64
"6 Ave & 9 St"	night	0.45	0	0	430	29.5	492	38.64
"Peck Slip & Front St"	morning	30.35	1	2	184	94.58	193	140.11
"Peck Slip & Front St"	afternoon	46.23	1	2	184	94.58	193	140.11
"Peck Slip & Front St"	evening	32.61	1	2	184	94.58	193	140.11
"Peck Slip & Front St"	night	1.77	1	2	184	94.58	193	140.11
"Fulton St & Adams St"	morning	25.65	1	2	184	94.58	193	140.11
"Fulton St & Adams St"	afternoon	49.48	1	2	184	94.58	193	140.11
"Fulton St & Adams St"	evening	22.19	1	2	184	94.58	193	140.11
"Fulton St & Adams St"	night	0.77	1	2	184	94.58	193	140.11
"Reade St & Broadway"	morning	22.65	1	2	184	94.58	193	140.11
"Reade St & Broadway"	afternoon	45.71	1	2	184	94.58	193	140.11
"Reade St & Broadway"	evening	20.74	1	2	184	94.58	193	140.11
"Reade St & Broadway"	night	1.06	1	2	184	94.58	193	140.11
"Madison Ave & E 82 St"	morning	12.45	0	0	430	29.5	492	38.64
"Madison Ave & E 82 St"	afternoon	35.84	0	0	430	29.5	492	38.64
